ID;Anime;Character;Quote;;;;;;;;
1191;(Black Cat);Train Heartnet;The past isn't something you can just throw away. It stays with us forever. It's the same for everyone. We must live on, and carry the burdens of the past with us. That's why it's important that you carry the burden of what you do now and how you've decided to live your life today.;;;;;;;;
1192;(Danganronpa: Kibou No Gakuen To Zetsubou No Koukousei);Monokuma;Everyone's birthplace and upbringing is different. It's obviously impossible for them to understand each other.;;;;;;;;
1193;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;If wishes could be granted, if desires could be fulfilled,  then I wouldn't wish or desire for anything after all. The things you're handed on a silver platter are never genuine, and never everlasting. And that is why I'll always keep searching.;;;;;;;;
1194;(Toaru Majutsu no Index);Kamijou Touma;This is your life right? Then decide for yourself! If you want to protect everything with your hands then do so, if you want to abandon everything then do so. But, what do you yourself want to do right now? Can you really be satisfied giving someone else that you don’t really understand your most important thing?;;;;;;;;
1195;(Liar Game);Akiyama Shinichi;Now, you’ve only got two different options to choose from: Prove that everything I just said was bullshit, or admit your guilt.;;;;;;;;
1196;(Fate/stay night);Emiya Shirou;I don't mind losing to someone, but I won't be beaten by myself.;;;;;;;;
1197;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Shizuka Hiratsuka;It is impossible to not hurt someone. Humans unconsciously hurt others by simply existing. Whether you are alive or dead, you keep hurting people. Getting involved will hurt them, but trying not to get involved might hurt them too. But if it's someone you don't care about, you won't notice you've hurt them. What's important is your awareness of it. It's because you care about them, that you feel like you've hurt them. Caring about someone means being resolved to the fact that you'll hurt them. The more people care for each other, the farther out of reach certain things get. But that's not something to be sad about, I think it's probably something to be proud of.;;;;;;;;
1198;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;Thinking you'll understand without being told anything is an illusion.;;;;;;;;
1199;(Plastic Memories);Michiru Kinushima;Losing sight of who you really are... that can be pretty scary.;;;;;;;;
1200;(Gunslinger Stratos: The Animation);Tooru Kazasumi;It has happened many times throughout history. Resources, territory, wealth... Humans fight each other in order to gain something they don't have. It's simple. How can you be concerned with the lives of others when you're about to starve to death? You're too naive. Humans can only live by stealing what they don't have from others. If there's no future, we just take the future from others.;;;;;;;;
1201;(Grisaia no Rakuen);Amane Suou;All I ever gained from abandoning something and running away were regrets I couldn't do anything about, and a version of myself that could only resent others. If I come to hate myself, even living becomes a sin. Remorse alone will become my punishment. That's why I've decided to take action of my own free will, so I'll never have the same regrets again.;;;;;;;;
1202;(Saenai Heroine no Sodatekata);Tomoya Aki;They're human beings who are more appealing that real girls with warm blood flowing through their veins! That's what you have to be!;;;;;;;;
1203;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;Don't put me on their level. I don't care about looking interesting. I'm just self-conscious.;;;;;;;;
1204;(Kekkai Sensen);Klaus von Reinherz;Step one foot outside, and with one pull of a trigger, you can inflict a fatal injury;;;;;;;;
1205;(Saenai Heroine no Sodatekata);Tomoya Aki;"You're the idiot. 3D girls are way too much trouble. The first is ""the most beautiful girl in school"", which is a dating sim trope that doesn't exist in reality. The second is having two of the ""most beautiful girl in school"" is contradictory. And the third is the wildly mistaken notion that a 2D-only otaku like me could possibly have a 3D girlfriend.";;;;;;;;
1206;(Mikagura School Suite);Imizu Asuhi;Even a dim star is sending light somewhere.;;;;;;;;
1207;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;It's arrogant to think just saying things out loud is enough. Self-gratifying on the part of the speaker, and conceited on the part of the listener. You won't always come to an understanding by talking things out.;;;;;;;;
1208;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;"Expecting others to read your mind is delusional. But... But... I... I...""It's not empty words I'm after. There was something else I desired all along. Not mutual understanding, friendship, companionship, or anything of the sort. I don't care about being understood. I simply wish to understand. Understand, know, and rest easy in that knowledge-- gain some peace of mind. Wanting to know people inside-out because being in the dark terrifies me is an awfully self-indulgement, egoistic, and arrogant wish. It's downright despicable and disgusting. Having a desire like that makes me sick to the stomach! But if it's at all possible to share that desire-- if it's possible to have a relationship where you're free to burden one another with that repulsive self-gratification...I know that it's out of the question! I know that it's out of my reach! Even so!"" Even so, I... I want something genuine. ";;;;;;;;
;;;;;;;;;;;
1210;(Danganronpa: Kibou No Gakuen To Zetsubou No Koukousei);Monokuma;You know, isn't it said that life has its ups and downs? It's fun because downs come after ups, but if life was full of downs, wouldn't it get boring?;;;;;;;;
1211;(Hamatora: The Animation);Moral;All human beings can only perceive the world through the filter of their values. Mediocre values may be harmless, but they are also utterly worthless.;;;;;;;;
1212;(Eden*);Ryou Haruna;There's no need to rush. Sometimes even pointless conversations can teach you a thing or two.;;;;;;;;
1213;(Eden*);Natsume;Everyone's reality is freight with some degree of pain. What's wrong with seeing what makes you happy in your dreams?;;;;;;;;
1214;(Magi - The Labyrinth of Magic);Alibaba Saluja;Friends are like balloons. Once you let them go, you can't get them back. So I'm going to tie you to my heart, so to never lose you.;;;;;;;;
1215;(La Corda D'Oro - primo passo);Azuma Yunoki;It's harder to fool one's self than to fool others.;;;;;;;;
1216;(Eden*);Natsume;Even now, she continues to burn away her life in order to bring about a beginning rather than an end... She just looks forward while dreaming of the outside world. But you know what I think? Isn't it a bad thing to just look forward? Sometimes looking to the side, or looking back... There just might be something important there. You may have lost something. There may be the smile of a loved one. Isn't it impotant to try looking around once in a while? That's how it was for me. I could only ever face forward, could only move my legs with reckless abandon. I never had any idea what sort of footprints I might be leaving behind me. No, in truth, I couldn't even look ahead. The fact that I've never seen anything was scary... so I went on a trip to find what I truly desired.;;;;;;;;
1217;(The World God Only Knows);Keima Katsuragi;That's not love... A heroine's love is supposed to be sincere! If you can immediately move on and find someone new, it isn't love!;;;;;;;;
1218;(Karneval);Nai;Sorry, but I hate people who act innocent but are actually opportunists.;;;;;;;;
1219;(The World God Only Knows);Keima Katsuragi;If you come across an event that's too good to be true, it's probably poison.;;;;;;;;
1220;(Danganronpa: Kibou No Gakuen To Zetsubou No Koukousei);Kyōko Kirigiri;"Also, the ""fear"" experience is a little different from yours, I imagine. You're afraid of what you might lose, right? But I'm afraid of what I've already lost.";;;;;;;;
1221;(Danganronpa: Kibou No Gakuen To Zetsubou No Koukousei);Monokuma;So everyone just pretends to understand... and pretends to be understood.;;;;;;;;
1222;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Shizuka Hiratsuka;People's thoughts don't always mirror how they feel. That's why they sometimes make decisions that seem nonsensical.;;;;;;;;
1223;(Danganronpa: Kibou No Gakuen To Zetsubou No Koukousei);Monokuma;A suicide means you've killed the most important existence of all: yourself.;;;;;;;;
1224;(Claymore);Ophelia;It's truly infuriating... I despise people like you who put their own lives in jeopardy for some glorious, hopeless cause.;;;;;;;;
1225;(Toaru Majutsu no Index);Accelerator;Listen, even if someone is suffering before you, the kind of person that can take up arms without hesitation to shoot down the villain is no better than a villain himself. The kind that doesn’t care about others, doesn’t give 2nd chances;;;;;;;;
1226;(Kokoro Connect);Iori Nagase;"What are people? What is the ""self""? So long as you look like someone else, no one can't tell who's really on the inside.";;;;;;;;
1227;(Psycho-Pass Extended Edition);Tomomi Masaoka;People's thoughts, wishes, hopes and desires... We live in a time where technology can read everything in your mind, and yet, this place teems with people who hate, lie, steal and try to harm others. If that's not irrational, then what is it?;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1229;(Kino No Tabi);Kino;Being able to forget things you want to forget, and being able to remember things you want to remember, is such a great thing, you know?;;;;;;;;
1230;(Steins;;;;;;;;;;
1231;(The Disappearance of Nagato Yuki-chan);Asakura Ryouko;Applying knowledge is of the utmost importance when studying. You wrestle with various things and come up with a solution from there. It's true that asking someone who knows the answer is the quickest. But you can't necessarily say that that's the best way, don't you think?;;;;;;;;
1232;(Psycho-Pass Extended Edition);Makishima Shougo;Overall, I think people tend to reveal their true selves when they step into an avatar. As I said earlier, they probably feel some sense of freedom. But freedom easily gained quickly turns into a false sense of omnipotence.;;;;;;;;
;;;;;;;;;;;
1235;(Grisaia no Rakuen);Matsushima Michiru;I don't like sparklers all that much. It burns so beautifully for just a little while and when it's done, only black cinders remain. It's like a misbegotten life and it makes me feel lonely for no good reason.;;;;;;;;
1236;(Kokoro Connect);Taichi Yaegashi;Everyone has different faces.;;;;;;;;
1237;(Assassination Classroom);Nagisa Shiota;Anything can be a sword if you polish it enough.;;;;;;;;
1238;(Nagi no Asukara);Tsumugu Kihara;You probably do lose a lot, but that just means you need to fill what you lost with new things.;;;;;;;;
1239;(Nagi no Asukara);Chisaki Hiradaira;I wasn’t scared that I’d be rejected, I was scared that if I said how I felt, all of our relationships would change.;;;;;;;;
1240;(Psycho-Pass Extended Edition);Makishima Shougo;Most people don’t mind killing cows and chickens but they’d probably have a hard time doing the same to chimpanzees. Partially, it’s because chimpanzees bear a slight resemblance to humans, but the primary reason is that they can draw pictures. Suppose fish were able to draw pictures. Even if we are unable to understand what they’re thinking, it becomes harder to kill animals that can draw. Instinctively, in our minds we would say to ourselves… “May be they have feelings” That shows how high a value we assign to expression.;;;;;;;;
1241;(Bleach: Official Character Book 3 UNMASKED);Ulquiorra Schiffer;"What is there, over there? There is nothing. I was born in a bottom of a pit where no light shone. As if pressed together by the darkness. Untouched by everything at all. Born under those dark, dark sediments. I had a white form. My comrades were all in pure black. In those black forms with their eyes shining and teeth baring they were certainly eating something. And then... There was nothing to me, except my eyes. I felt nothing. No rather... It was possible that what I felt was ""void"", yet. I could hear nothing, I could bite nothing, I could smell nothing, I could feel nothing as I touch, I could not rest. I had no companion. Just walking, alone. The things reflected in my eyes have no meaning. The things that could not be reflected in my eyes do not exist. Walking walking walking walking walking walking walking walking. When I had arrived at last. I have found something extraordinary. It was somewhat the place of birth for those strange translucent objects that dotted this world. It was the first time... my eyes have been captured. With no colour, with no sound, with no scent. Does not interact with anything, it only exists there. It was the closest existence to ""void"" that I had ever laid eyes on. I sank my body... into... that great ""void"". There was nothing there,... Even I had lost my line of vision, and dissolved into the void... And felt as if everything had disappeared. Happiness. If such a thing called happiness exists in this world, it should be something which resembles the limitless nothingness. Nihility is having nothing, and having nothing to lose. If that isn't ""happiness"", then what is? The things reflected in my eyes have no meaning. The things that could not be reflected in my eyes, do not exist. There is nothing... in you... and... in me.";;;;;;;;
1242;(Danganronpa: Kibou No Gakuen To Zetsubou No Koukousei);Kyōko Kirigiri;Fear is proof that your imagination is functioning. Frankly, I feel bad for anyone who can't feel fear. Without imagination, you can never deduce which action to take next.;;;;;;;;
1243;(Ore Monogatari!!);Makoto Sunakawa;Just because someone's friends with a nice person doesn't mean they're nice, too. ;;;;;;;;
"Sometimes they're friends because the person's nice enough to have them.""";;;;;;;;;;;
1244;(Shining Hearts);Madera;There's some skill involved in the creation of anything. That skill is like a map made of the failures people have made in the past and learned from. That map can guide people. If you follow a certain route you'll fail. However, if you follow a different route you'll succeed. You can make something just by following the map. It will take form. It might be very hard task to walk the way others have told you. But if you have the will, it might turn out to be easy. But if you follow the path created by others, you'll eventually have to stop somewhere. Then what will you do? Will you create a new path for yourself? Or will you wait until someone creates one for you? Either one is fine. Stopping or moving forward. Because the path you'll follow is something you have to choose for yourself.;;;;;;;;
1245;(Hotarubi no Mori e);Hotaru Takegawa;I probably won't be able to look forward to summer for a long time. My chest will hurt. My tears will be overflowing. But this warmth in my hands and these summer memories will live on in my heart.;;;;;;;;
1246;(Special A);Kei Takishima;Nothing interesting ever happens. It's the same everyday.;;;;;;;;
1247;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Yukino Yukinoshita;If this is all it takes to tear us apart, then maybe we weren't all that close to begin with.;;;;;;;;
1248;(Steins;;;;;;;;;;
1249;(Psycho-Pass Extended Edition);Tomomi Masaoka;Everything you've been taught is based on theories and logic. Soon you will likely come to realize how pointless they are in the world we live in.;;;;;;;;
;;;;;;;;;;;
1251;(Steins;;;;;;;;;;
1252;(Kekkai Sensen);Mary Macbeth;Even now, twenty centuries after the death of Christ, the world is a long way from peace.;;;;;;;;
1253;(Kekkai Sensen);Klaus von Reinherz;People are weak. Because of their weakness, they sometimes behave in ways devoid of self-respect. But then, so what if they do, my old friend? Even if I am struck with a thousand setbacks... it does not serve as a reason to alter the way I live... my life!;;;;;;;;
1254;(Kekkai Sensen);Mary Macbeth;Don't you think it's futile to live in fear of death? I mean, everyone is going to die sometime, so is there any point in pretending not to see it for the present? Or instead, I wonder if they think it doesn't concern them, since they aren't going to die.;;;;;;;;
1255;(Assassination Classroom);Karma Akabane;Total victory is scoring an easy win by doing what you always do.;;;;;;;;
1256;(Assassination Classroom);Korosensei;Tests are a good thing. The knowledge gained from a night of cramming will be all but forgotten once you hit adulthood. And that's fine. The experience you gain through competition, having sharpened your skills and broadened your minds all under the same set of rules? That's the real treasure.;;;;;;;;
1257;(Psycho-Pass Extended Edition);Makishima Shougo;"Suppose someone said ""humans are foolish""... Obviously, that person would be talking about themselves as well. If you want to understand human beings, you need to do more than just watch them. You need to pay attention to what they themselves are watching. What are you watching? You are the ones who I'm watching. It may be hard to believe, but I like you guys. You know what they say... The opposite of love is not hatred, but indifference. An indifferent person would lack the drive to kill or hurt. My mind keeps jumping around. Am I nervous...? Did I underestimate my enemy so much that I stepped in too deep...? ...What a silly thought.";;;;;;;;
1258;(Assassination Classroom);Korosensei;It’s dangerous for them to grow up without experiencing true competition. Because they’ll keep whining, even without taking the matter seriously. For those with a high level of aptitude... The sooner they know the frustration of defeat, the greater their growth will be.;;;;;;;;
1259;(Final Fantasy VII);Tifa Lockhart;People have many things pent up inside of themselves.;;;;;;;;
1260;(Chuunibyou Demo Koi Ga Shitai!);Kumin Tsuyuri;Do you know how they say that love is like a dream? With a dream, you eventually wake up from it. It's hard to force yourself to wake up.;;;;;;;;
1261;(Durarara!!);Izaya Orihara;Have you ever thought about why you're so good and your parents are so bad? If you'd so kindly let me give away the answer;;;;;;;;
1262;(Aikatsu!);Johnny Beppu;Become an idol who can laugh through the bitterness. If you do that, you can make everyone happy.;;;;;;;;
1263;(Fate/zero);Tohsaka Tokiomi;Taking responsibility for yourself is the first condition for humanity. One who cannot do even that is less than human. Just a dog, Kariya.;;;;;;;;
1264;(Eden*);Elica;Chains can be torn off. Your sister knew that. Be it an artificially produced human or a wild animal stained by sin... I believe that all living things have the right to be happy.;;;;;;;;
1265;(Assassination Classroom);Korosensei;Please remember that there are times to take someone's hand and lead them along... But also times when you must be stern and let them fend for themselves. ;;;;;;;;
1266;(Sukitte Ii Na Yo);Mei Tachibana;We all have our scars from loving someone too deeply, from wanting to protect  someone too much.;;;;;;;;
1267;(Fairy Tail);Lucy Ashley;If one really wants to change the world...they have to do it by their own hands!;;;;;;;;
1268;(Absolute Duo);Lilith Bristol;If you try to acquire something, you'll lose something else along the way. That's the truth of this world. No matter how sad it is.;;;;;;;;
1269;(Air Gear);Ringo Noyamano;When a person is hard to reach, someone has to extend their hand to that person to get to them, because of that dream, because they dream that freedom really exists, the roses will look up at the sky when they bloom.;;;;;;;;
1270;(Air Gear);Itsuki Minami;There's something you can't see unless you're standing at the top, to experience that for the first time, I'm struggling to a higher place than anyone else, isn't that what freedom is?;;;;;;;;
1271;(Air Gear);Ringo Noyamano;From this day on, I don't need freedom. As we struggle using our strength to grasp what's above us. We will eventually reach something, that is the meaning of the word freedom.;;;;;;;;
1272;(Air Gear);Itsuki Minami;A long time there... There was a balloon man, right? When I first heard that story, I was so stupid that I actually enjoyed it... But really, the story was horrible. Driven solely by his dreams he used his balloons to disapear into the sky. The people watching made a big fuss about it... But no one really tried to stop it. There's no telling where the wind will take you. And he knew that one day his fuel, his ''freedom'' would run out, and he'd fall into the black ocean. To fly... that feeling is the most important thing. But instead of the dark clouds that drive people from the sky... There must be a chain to keep them grounded. The time will come, for those with the ability to fly away, while everyone else can only watch. Using their own wings, their own power... soaring as far as they can without aid. Because... Because that is what it means to fly. ;;;;;;;;
1273;(Air Gear);Ringo Noyamano;The desire to fly with ''real wings'' is what motivates you.;;;;;;;;
1274;(Air Gear);Itsuki Minami;So I'll search for my real ''wings'', because if I stay in the comfort of my nest, I'll never be able to use my own strength to fly.;;;;;;;;
1275;(Magi - The Labyrinth of Magic);Koumei Ren;"Plainly speaking war is nothing other than ""wanting to impose your beliefs on your opponent."" It only happens for that reason. You don't have any exception to that rule. ";;;;;;;;
1276;(Eden*);Sion;Even if they are locked in cage, as long as they have wings, birds can dream of the wide-open sky. But.. If their wings are plucked, they will cease to be birds...;;;;;;;;
1277;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;There are people who can't act unless they're faced with a problem. Unless they find their reason. All I was left with was the sinking suspicion that I'd gone horribly wrong.;;;;;;;;
1278;(Plastic Memories);Isla;Having happy and beautiful memories won't always bring you salvation. The more beautiful a memory is, the more painful it can become. It can even become terrifying. Both for the one who's leaving... And for the one left behind.;;;;;;;;
1279;(Noblesse);Cadis Etrama Di Raizel;Not every result can be the one desired. Trust your own judgments and actions. That is enough.;;;;;;;;
1280;(Kekkai Sensen);Leonardo Watch;Once you get used to the abnormalities, they become mundane.;;;;;;;;
1281;(Psyren);Sakurako Amamiya;Regret is a powerful poison. The more you harbor those thoughts, the harder it is to move on.;;;;;;;;
1282;(Angel Beats!);Yuri Nakamura;Let me tell you something. Humans don't even have the patience to wait even ten minutes for something!;;;;;;;;
1283;(Walkure Romanze);Takahiro Mizuno;There are some things you'll never see if you're always running.;;;;;;;;
1284;(Walkure Romanze);Akane Ryūzōji;Sometimes opportunity comes in sacrifice. ;;;;;;;;
1285;(Walkure Romanze);Takahiro Mizuno;If fate were real, then I would say meeting someone new would constitute such a thing.;;;;;;;;
1286;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;So long as a problem doesn't cause problems, it can't be called a problem.;;;;;;;;
1287;(Walkure Romanze);Lisa Eostre;There's a thin line between recklessness and courage.;;;;;;;;
1288;(Haiyore! Nyaruko-san);Cthuko;Becoming an adult is such a sad thing. If you have something dear to protect, you may end up at odds with yourself.;;;;;;;;
1289;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;If they're not given a problem, if they're unable to find a reason, some people can't bring themselves to act. Maybe I got something wrong somewhere. Only that bit of doubt stayed with me.;;;;;;;;
1290;(Nagi no Asukara);Hikari Sakishima;I don't want to see any more things that've changed! It's exhausting!;;;;;;;;
1291;(Mirai Nikki);Karyuudo Tsukishima;Those who seem kindest, are often the most insidiously cruel.;;;;;;;;
1292;(Nagi no Asukara);Chisaki Hiradaira;Does becoming adult mean you lose a lot of things?;;;;;;;;
1293;(Ergo Proxy);Re-L Mayer;The only thing waiting for you outside is a world of death.;;;;;;;;
1294;(Denpa teki na Kanojo);Ame Ochibana;The fastest way to happiness is to avoid looking at reality.;;;;;;;;
1295;(Toaru Majutsu no Index);Accelerator;I have no interest in being a villain, and I don’t think that I can become a good person. I’m at a halfway point where I’m not even sure which path I should walk down… but I guess even there, I can still interfere in someone’s life and help bring things to a positive conclusion…;;;;;;;;
1296;(Pandora Hearts);Oz Vessalius;Instead of sighing about the past, I'd rather be happy to face the present.;;;;;;;;
1297;(Kuroshitsuji);Ciel Phantomhive;To hate something that you used to love is such a painful feeling.;;;;;;;;
1298;(Uta No Prince Sama);Ichinose Hayato;Everyone loses sight of themselves sometimes. Don't worry about it.;;;;;;;;
1299;(Toaru Majutsu no Index);Accelerator;"I'm too naive. With thoughts like ""If I saved someone maybe I can start all over again.""";;;;;;;;
1300;(Kuroshitsuji);Ciel Phantomhive;Love means money these days.;;;;;;;;
1301;(Valvrave the Liberator);L-elf Karlstein;This isn’t a situation where you can stand on principle. If there’s something you want to protect, get your hands dirty.;;;;;;;;
1302;(Valvrave the Liberator);Senator Figaro;Running away isn’t the same thing as losing. You only truly lose by dying. So as long you’re alive, you win.;;;;;;;;
1303;(Final Fantasy VII: Advent Children);Sephiroth;Whether your words...are lies created to deceive me... or the truth that I have sought all my life... It makes no difference. You will rot.;;;;;;;;
1304;(Final Fantasy VII: Advent Children);Zack Fair;If people had wings... They'd be monsters.;;;;;;;;
1305;(Final Fantasy VII);Tifa Lockhart;A memory is something that is consciously recalled, right? That's why sometimes, it can be mistaken or wrong. It's different from a memory locked deep within your heart.;;;;;;;;
1306;(WATAMOTE);Tomoko Kuroki;Romance is all about how far you'll go to prove your love. Finding a person who's worth the effort is pure luck. You just gotta wait for the right hurricane to sweep you off your feet.;;;;;;;;
1307;(Pandora Hearts);Ada Vessalius;What's the problem... to being different? Even if Vincent-sama is a Baskerville, as you say, even if he is completely different from me, it doesn't matter. I don't care if we're different! And if he really is that different, that's just one more reason to try to understand him!;;;;;;;;
1308;(Bleach);Madarame Ikkaku;No man's life is worth more than another! If you're gonna put your life on the line, you do it as equals! I don't care if you're brothers, or master and apprentice, or whatever! You should only die for a guy who'd die for you! There's nothing honorable about throwing your life away as though it's nothing! That's just showing off like a kid.;;;;;;;;
1309;(Houkago no Pleiades);Nanako;Space extends infinitely. The probability of an encounter may be low, but it isn't nonexistent.;;;;;;;;
1310;(Shingeki no Kyojin);Armin Arlelt;Willpower alone isn't enough in battle.;;;;;;;;
1311;(Natsume Yuujinchou);Natsume Takeshi;I may not have anywhere to go... but I can't just selfishly disappear either.;;;;;;;;
1312;(Natsume Yuujinchou);Natsume Takeshi;No one could understand the fear of walking alone in this unstable world.;;;;;;;;
1313;(D.Gray-man);Lavi;There isn't anyone who doesn't feel regret or sadness.;;;;;;;;
1314;(Umineko no Naku Koro ni);Furudo Erika;For the first time, I felt honoured at being allowed to compete in this game of truth and error, and witches as a human... And ironically, that taught me that the truth is not necessarily only one when I believed that only one truth existed. By just broadening my field of vision a little, I can see a truth that is completely different. And no matter which one of the truths, if you can only see one of them, they will not be the right answer... Ah, in my life until now, I wonder how many truths have I turned away from because I was blinded by some trivial truth...? This is... the truth... of the world...;;;;;;;;
1315;(NANA);Shoji Endo;What am I to you anyway? You get all teary eyed whenever it suits you but you never stop to think about my feelings and how you might be messing with my heart. You want some nice guy to be a part of your life but only if its on your terms. All this talk of just being friends with a guy... don't make me laugh!;;;;;;;;
1316;(Hunter X Hunter);Killua Zoldyck;Who wants to have their life planned out for them.;;;;;;;;
1317;(Tokyo Ghoul √A);Yoshimura;Life is a succession of committing sin. Life is evil itself. I'm conscious that I'm evil. And so are all of you.;;;;;;;;
1318;(Steins;;;;;;;;;;
1319;(Bleach);Ukitake Jyuushirou;Friends are a good thing, even if they tread a different path.;;;;;;;;
1320;(Hunter X Hunter);Hisoka;It takes a mere second for treasure to turn to trash.;;;;;;;;
1321;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;What if, and this is strictly hypothetical, what if you could reload your save data to change your previous choice, like in a game? Would it change your life? The answer is a resounding no.;;;;;;;;
1322;(Grisaia no Kajitsu);Kazuki Kazami;It's too soon to give up. We aren't in Hell yet. This world is still worth surviving for.;;;;;;;;
1323;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;A problem is not a problem as long as nobody sees it as one.;;;;;;;;
1324;(Fate/stay night: Unlimited Blade Works TV);Archer;Brilliant people shine more brightly than ordinary ones. They never regret or agonize over what they've done.;;;;;;;;
1325;(Grisaia no Rakuen);Yuuji Kazami;A little bit of trouble keeps life from being boring.;;;;;;;;
1326;(Another);Mei Misaki;How does it feel to not exist?;;;;;;;;
1327;(Another);Mei Misaki;If you're here, can you prove you're really here?;;;;;;;;
1328;(Akame ga KILL!);Esdeath;Panicking leads to an early grave.;;;;;;;;
1329;(Mahou Shoujo Madoka Magica);Mami Tomoe;If you use your wish to grant someone else's, you should be careful you know exactly why you are doing it.;;;;;;;;
Are you really doing it for someone else's benefit?;;;;;;;;;;;
Or the opposite;" you're doing it for that person's everlasting gratitude.""";;;;;;;;;;
1330;(Umineko no Naku Koro ni);Featherine Augustus Aurora;People respect it when someone they are distant from is boring and harmless. However, they only like that person because he or she doesn't get in their way. No human would want to hang around a boring person.;;;;;;;;
1331;(WATAMOTE);Tomoko Kuroki;Resenting the past won't change anything. It just makes me want to kill myself! I have some control over my future, but there's no changing the past! I'll simply do what I can right now.;;;;;;;;
1332;(Bleach);Kariya Jin;Let me tell you the truth. The truth behind fighting. Fighting continues forever. After you've defeated one person, someone stronger appears. If you manage to defeat him, then an even stronger person comes along. If you don't have the resolve to endure that eternal struggle, then eventually your confidence will erode. But it doesn't end there! The battle will continue elsewhere, fought by others. It's an endless cycle! And it doesn't end with a person's death. The cycle will continue! As long as people and their souls exist, there will be disputes and those disputes will lead to fights. And those fights will continue without limit, for all eternity.;;;;;;;;
1333;(Natsume Yuujinchou);Natsume Takeshi;There were a lot of people who were kind to begin with. No, they were probably good people but, I don't want to see the disappointment in their eyes anymore. I don't really want to meet kind of people anymore.;;;;;;;;
1334;(Umineko no Naku Koro ni);Frederica Bernkastel;The reader will be me. I have no love, maybe I'll end up interpreting some things in a weird way. However, the reader is free to decide how to read things and with which intonation.;;;;;;;;
1335;(Death Note);Misa Amane;Unless someone makes the first move, nothing will happen.;;;;;;;;
1336;(Skip Beat!);Kyoko Mogami;When you love someone, you can never be sure that you'll be loved in return.;;;;;;;;
1337;(Bleach);Don Kanonji;Run? Is that how you speak to a hero? How little you understand. Allow me to educate you. If a hero were to run from battle... the children could no longer call him a hero.;;;;;;;;
1338;(Bleach);Zaraki Kenpachi;It's been so long that I forgot the pain of not having a name. Everyone had a name that friends use to call them, but I didn't. That pain.;;;;;;;;
1339;(Shingeki no Kyojin);Hange Zoe;If there's something you don't understand, learn to understand it.;;;;;;;;
1340;(Fullmetal Alchemist);Alphonse Elric;You're not a good-for-nothing person. I think that being able to try your hardest to be something is a talent by itself.;;;;;;;;
1341;(Fullmetal Alchemist);Greed;Greed may not be good, but it’s not so bad either. You humans think greed is just for money or power, but everyone wants something they can’t have.;;;;;;;;
1342;(Kuroshitsuji);Undertaker;How sad it would be if laughter should disappear.;;;;;;;;
1343;(Trinity Blood);Astharoshe Asran;It is so painful when you lose someone you love ...To the point where your hair turns white because of grief.;;;;;;;;
1344;(Air Gear);Itsuki Minami;Nothing can remain the same forever, because if you don't change you can't improve... Facing this inescapable ''reality'' if you don't grow... You'll be crushed... For everyone to ascend and accomplish their dreams. They must grow.;;;;;;;;
1345;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;I'm always alone. Other people don't factor into what I do. The things that happen in front of me are parts of my life and my life alone. ;;;;;;;;
1346;(Soul Eater);Maka Albarn;You're the one who decides who you are.;;;;;;;;
1347;(Wolf's Rain);Toboe;Why does everybody have to fight about everything, argue and steal from each other all the time? I mean, it's a big enough world. Why can't we share it?;;;;;;;;
1348;(Pandora Hearts);Alice;If you don't get accepted by anyone, does that mean there's no significance for you to live on?;;;;;;;;
1349;(Cowboy Bebop);Vincent Volaju;I have no fear of death. It just means dreaming in silence. A dream that lasts for eternity;;;;;;;;
1350;(Bleach);Kurosaki Ichigo;[After getting hit by Yammy Llargo's Bala] You mean do I have a defence? Truth is, I’ve never really had any plans against any attacks. I just knew I had to win so I did. That’s my plan. I don’t care if you’re higher ranked than the other Espadas' were, to me it’s all the same. I’ve gotta defeat you so I’ll find a way to do it. Simple.;;;;;;;;
1351;(Assassination Classroom);Karma Akabane;If you’ve got time to point fingers, then how about using your head to figure out what you want to do about it?;;;;;;;;
1352;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;Food tastes best when you don't have to work for it. ;;;;;;;;
1353;(Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku);Hachiman Hikigaya;Merits, demerits, risks, returns;;;;;;;;
;;;;;;;;;;;
